price,promo_price,code,size,url,out_of_stock,shop_id,address,product_count
1498.00,,ПР0070591,2 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-dlya-srednikh-porod-indeyka-s-kuritsey-s-dob-morkovi-i-chernoy-smorodiny-sukh/?oid=572106,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
5998.00,5398.2,ПР0070619,12 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-dlya-srednikh-porod-indeyka-s-kuritsey-s-dob-morkovi-i-chernoy-smorodiny-sukh/?oid=572104,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
1198.00,,ПР0067661,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-sredniy-porod-svezhee-myaso-indeyki-sukh/?oid=532403,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
2698.00,,ПР0068309,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-sredniy-porod-svezhee-myaso-indeyki-sukh/?oid=540911,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
6998.00,6298.2,ПР0068310,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-sredniy-porod-svezhee-myaso-indeyki-sukh/?oid=540909,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
6398.00,,ПР0074036,8 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-sobak-melkikh-porod-svezhee-myaso-yagnenka-s-indeykoy-sukh/?oid=593613,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",мало
1198.00,,ПР0067659,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-melkikh-porod-svezhee-file-lososya-s-indeykoy-sukh/?oid=532398,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
2698.00,,ПР0067660,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-melkikh-porod-svezhee-file-lososya-s-indeykoy-sukh/?oid=532400,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
6998.00,6298.2,ПР0068308,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-molodykh-sobak-premier-dog/?oid=540966,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
3498.00,,ПР0069440,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-grandorf-dlya-krupnykh-porod-yagnyenok-s-indeykoy-sukh/?oid=556742,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
1198.00,,ПР0067651,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-premier-dog-svezhee-myaso-indeyki-sukh/?oid=532416,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
2698.00,,ПР0067652,3 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-premier-dog-svezhee-myaso-indeyki-sukh/?oid=532418,False,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",достаточно
6998.00,6298.2,ПР0068307,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-shchenkov-premier-dog-svezhee-myaso-indeyki-sukh/?oid=540917,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
5998.00,5398.2,ПР0070618,10 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-award-dlya-melkikh-i-miniat-porod-yagnenok-s-indeykoy-s-dob-brokkoli-i-brusniki-sukh/?oid=572101,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
1198.00,,ПР0067655,1 кг,https://www.bethowen.ru/catalogue/dogs/korma/syxoi/korm-dlya-sobak-premier-dog-dlya-melkikh-porod-svezhee-myaso-indeyki-sukh/?oid=532388,True,18,"МО г. Красногорск, ул. Ленина, д. 35А, ТЦ «Солнечный рай»",
